q_sim,q_obs
1.472695196084107,2.41
1.3464819708731524,2.67
1.4003366295918813,2.64
3.727449707698055,4.45
3.175199364538992,4.53
1.726310395114113,2.64
1.4948682030755385,2.18
1.4286659311443906,1.95
1.3889361550014252,1.74
1.3152749386193405,1.61
1.2478976740488967,1.59
1.1842819199634098,1.53
1.1603424439825536,1.51
1.1614449634095343,1.49
1.1517482987147192,1.38
1.164782724864005,1.46
1.1944017951010069,1.46
2.3315993604179606,4.2
2.2260813887421467,2.65
2.676964790585301,2.4
4.771686588008027,3.84
3.4110730577060293,4.02
1.863639373639387,2.47
1.5991839326959016,2.12
1.5041750859174996,1.93
1.4712905215647438,1.84
1.5225859738153862,1.88
3.413380495756778,3.2
2.5562870475770687,3.03
2.5781607638852533,2.33
2.7403977285055547,3.48
2.2678830314892995,3.74
7.437039558931336,10.01
4.04395499861676,5.43
2.8954979654428064,3.6
2.1277977319977945,3.03
1.9702463391062068,2.63
1.957394784224881,2.36
1.8979158782300658,2.2
1.8072127663419186,2.01
1.716447751445927,1.99
1.6690814558097111,1.9
1.6332588898730247,1.85
1.5524457213327885,1.75
1.5027665744710172,1.71
1.4235747835310955,1.66
1.3537827286619653,1.6
1.3008351729779848,1.55
1.2655183230147693,1.52
1.2640829889141245,1.52
1.2224647205364128,1.45
1.164806106130486,1.41
1.1121878495428368,1.38
1.0950763623971274,1.32
3.114638750445273,3.08
9.902213856103078,9.32
9.146781635199329,13.06
5.721564920047047,8.86
3.2385330158306362,5.33
2.025790086388599,3.83
1.6615544871085541,3.24
1.6482380124640652,2.9
1.5953458576358028,2.61
1.5074716862789774,2.45
1.4246506961548504,2.39
1.3521343968616557,2.29
1.2880824812694653,2.22
1.2283944654931374,2.03
1.1669164991889798,1.94
1.1030772416704173,1.88
1.0436374972278368,1.8
0.9866783098300693,1.74
0.9337201429589752,1.69
0.8835007744700287,1.68
0.8349598486074502,1.64
0.7910792201953356,1.59
0.7607850054303542,1.54
0.7237124191011645,1.5
0.6946939342175493,1.45
0.7613248888063877,1.43
0.8026035392280403,1.51
0.7976289392247675,1.36
0.8472975037849825,1.38
0.9189619672765559,1.62
0.9063259611157172,1.33
0.8942479463566528,1.35
0.8999806709536589,1.4
0.8836491816665235,1.26
0.8409605577272405,1.24
0.8099036774314323,1.17
0.8445527761864289,1.17
0.8383909512787646,1.16
1.2060004075175281,1.28
1.0179136101157573,1.54
0.9971034915587764,1.25
0.9781880860883355,1.19
0.9437077310602033,1.11
0.9896819551649038,1.17
1.477875552821248,1.55
2.983425757708924,2.34
5.5066473887540255,4.23
3.2327579197298224,3.94
1.834029594000856,2.22
1.4849537092925336,1.88
1.377270676350086,1.73
1.3108440323255548,1.58
1.3019779402881737,1.57
1.2874303588238858,1.47
1.2947135732833097,1.44
