Epoch: 10 | Loss training: 0.013 | Loss validation: nan | Epoch time: 3.1  s | LR:0.00100 
Epoch: 11 | Loss training: 0.013 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00050 
Epoch: 12 | Loss training: 0.013 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00050 
Epoch: 13 | Loss training: 0.013 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00050 
Epoch: 14 | Loss training: 0.013 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00050 
Epoch: 15 | Loss training: 0.012 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00050 
Epoch: 16 | Loss training: 0.012 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00050 
Epoch: 17 | Loss training: 0.012 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00050 
Epoch: 18 | Loss training: 0.012 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00050 
Epoch: 19 | Loss training: 0.012 | Loss validation: nan | Epoch time: 2.9  s | LR:0.00050 
Epoch: 20 | Loss training: 0.012 | Loss validation: nan | Epoch time: 3.0  s | LR:0.00050 
Total training time: 59.6  s
Epoch: 1  | Loss training: 0.037 | Loss validation: 0.273 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 2  | Loss training: 0.027 | Loss validation: 0.373 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 3  | Loss training: 0.022 | Loss validation: 0.438 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 4  | Loss training: 0.020 | Loss validation: 0.478 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 5  | Loss training: 0.018 | Loss validation: 0.549 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 6  | Loss training: 0.017 | Loss validation: 0.533 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 7  | Loss training: 0.016 | Loss validation: 0.564 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 8  | Loss training: 0.016 | Loss validation: 0.577 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 9  | Loss training: 0.015 | Loss validation: 0.578 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 10 | Loss training: 0.015 | Loss validation: 0.599 | Epoch time: 2.1  s | LR:0.00100 
Epoch: 11 | Loss training: 0.014 | Loss validation: 0.606 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 12 | Loss training: 0.014 | Loss validation: 0.585 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 13 | Loss training: 0.014 | Loss validation: 0.577 | Epoch time: 2.2  s | LR:0.00050 
Epoch: 14 | Loss training: 0.014 | Loss validation: 0.552 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 15 | Loss training: 0.013 | Loss validation: 0.604 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 16 | Loss training: 0.013 | Loss validation: 0.610 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 17 | Loss training: 0.013 | Loss validation: 0.589 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 18 | Loss training: 0.013 | Loss validation: 0.599 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 19 | Loss training: 0.013 | Loss validation: 0.606 | Epoch time: 2.1  s | LR:0.00050 
Epoch: 20 | Loss training: 0.013 | Loss validation: 0.602 | Epoch time: 2.1  s | LR:0.00050 
Total training time: 42.2  s
