gauge_id,gauge_lat,gauge_lon,gauge_name,country,area
camelsde_112500,48.03670463,9.78729965,Schweinhausen,Germany,85.24456758
camelsde_210000,48.38934204,9.986740567,Neu-Ulm Bad Held_Donau ,Germany,7586.635083845735
camelsde_210010,48.46549944,10.28363392,Günzburg uh Günz ,Germany,9400.744768513516
camelsde_210020,48.56817724,10.49871424,Dillingen ,Germany,11315.36042758005
camelsde_210190,47.5242705,10.2603056,Sonthofen ,Germany,400.1442922780751
camelsde_210200,47.73041323,10.31687965,Kempten ,Germany,952.791243226592
camelsde_210210,48.37089511,9.987711192,Wiblingen_Iller ,Germany,2180.481065827244
camelsde_210220,47.32603448,10.26684022,Birgsau ,Germany,33.97896197927381
camelsde_210230,47.42287013,10.27140384,Oberstdorf_Stillach ,Germany,81.22007647727808
camelsde_210240,47.42343617,10.27733621,Oberstdorf_Trettach ,Germany,75.9534188034518
camelsde_210250,47.34771265,10.30961982,Spielmannsau ,Germany,8.029960960702045
camelsde_210260,47.39121739,10.29421525,Gruben ,Germany,24.180267422682963
camelsde_210270,47.41719637,10.25432211,Tiefenbach_Breitach ,Germany,146.81858997503272
camelsde_210290,47.50463306,10.3235556,Reckenberg ,Germany,126.6006311390044
camelsde_210300,47.53001416,10.29719482,Winkel ,Germany,19.926574834036327
camelsde_210310,47.5219969,10.22988001,Gunzesried ,Germany,47.14212470791505
camelsde_210320,47.55792063,10.10761946,Thalkirchdorf ,Germany,21.915402793236257
camelsde_210340,47.64875408,10.41218727,Gschwend ,Germany,9.323297209
camelsde_210350,47.62810774,10.35822124,Greifenmühle ,Germany,31.189483149948742
camelsde_210360,47.69805035,10.3427427,Durach ,Germany,16.570508568489203
camelsde_210370,47.76820208,10.33688611,Stielings ,Germany,60.42873429084504
camelsde_210380,48.04493614,10.15011875,Heimertingen ,Germany,120.62512263764523
camelsde_210400,48.36959315,10.15126147,Roth_Roth ,Germany,167.11612128832934
camelsde_210410,48.07168161,10.29955181,Lauben_Günz ,Germany,314.7322527048336
camelsde_210420,48.23611977,10.31396543,Nattenhausen ,Germany,522.828387824181
camelsde_210430,48.35239443,10.30215761,Waldstetten ,Germany,600.3438928856153
camelsde_210450,48.1696759,10.43358722,Hasberg_Mindel ,Germany,216.6278552
camelsde_210460,48.48559928,10.38042749,Offingen ,Germany,953.6466821238616
camelsde_210470,48.13300973,10.51010198,Zaisertshofen ,Germany,183.8664171339268
camelsde_210480,48.45563259,10.37971812,Remshart ,Germany,250.28581225158325
camelsde_210490,48.54735381,10.31880633,Bächingen ,Germany,739.3480665149851
camelsde_210500,48.61502082,10.42719267,Wittislingen ,Germany,361.9289267069273
camelsde_210510,49.17578831,10.25894291,Reichenbach ,Germany,87.99893481727536
camelsde_210520,49.04776081,10.51765248,Gerolfingen ,Germany,586.3245245692044
camelsde_210530,48.81230769,10.64159489,Heroldingen ,Germany,1105.952946150941
camelsde_210540,48.78324617,10.69238869,Harburg ,Germany,1564.717543625571
camelsde_210550,49.22622114,10.32179654,Rödenweiler ,Germany,25.791819324594023
camelsde_210560,48.80856176,10.60204965,Lierheim ,Germany,394.79724752582456
camelsde_210570,48.35902095,10.57000986,Fleinhausen ,Germany,179.5520132
camelsde_210580,48.60866515,10.71760947,Pfaffenhofen_Zusam ,Germany,508.3912370164792
camelsde_210590,48.2936789,10.65381781,Fischach ,Germany,132.1335041125025
camelsde_210600,48.49217986,10.82735472,Achsheim ,Germany,357.2747061905442
camelsde_210610,48.63546439,10.81856946,Druisheim ,Germany,478.5991607174939
camelsde_210630,47.69818219,10.79794821,Lechbruck ,Germany,1709.9602050283156
camelsde_210640,48.04152281,10.87498197,Landsberg ,Germany,2286.332045430757
camelsde_210650,48.31661194,10.94589757,Haunstetten_Lech ,Germany,2540.6860197681467
camelsde_210660,48.40697004,10.88803106,Augsburg uh Wertach ,Germany,3962.9051972266593
camelsde_210670,47.580715,10.55748099,Pfronten Ried ,Germany,113.33127607314285
camelsde_210680,47.55394533,10.51572586,Fallmühle ,Germany,21.917785921024187
camelsde_210690,47.58701119,10.68387451,Eschach ,Germany,62.7518705890062
camelsde_210710,47.61037523,10.82520645,Trauchgau_Halblech ,Germany,47.82290561066553
camelsde_210720,47.64745571,10.8196767,Trauchgau_Trauchgauer Ach ,Germany,28.18952766787121
camelsde_210730,47.72676564,10.8917619,Engen_Illach ,Germany,32.100815676657724
camelsde_210750,47.58498533,10.40906552,Wertach_Wertach ,Germany,35.213402440090654
